Date          NingDu      ShiCheng    FenKeng
2003-01-01    51.7        14.1        171.0   
2003-01-02    52.4        15.1        169.0   
2003-01-03    59.5        16.6        175.0   
2003-01-04    56.6        13.9        178.0   
2003-01-05    53.0        14.3        176.0   
2003-01-06    52.3        15.7        168.0   
2003-01-07    62.5        21.7        196.0   
2003-01-08    68.1        16.4        229.0   
2003-01-09    62.3        17.5        225.0   
2003-01-10    58.5        15.1        192.0   
2003-01-11    56.5        14.0        193.0   
2003-01-12    54.8        13.1        182.0   
2003-01-13    50.5        13.2        176.0   
2003-01-14    48.7        12.6        168.0   
2003-01-15    40.9        13.2        170.0   
2003-01-16    37.8        16.1        152.0   
2003-01-17    39.9        14.6        147.0   
2003-01-18    44.3        13.5        148.0   
2003-01-19    45.3        12.9        153.0   
2003-01-20    44.4        11.3        144.0   
2003-01-21    43.4        11.9        143.0   
2003-01-22    44.1        11.2        138.0   
2003-01-23    44.4        11.4        140.0   
2003-01-24    43.9        9.9         138.0   
2003-01-25    49.8        13.0        140.0   
2003-01-26    92.6        82.6        325.0   
2003-01-27    89.3        41.2        545.0   
2003-01-28    66.6        25.9        344.0   
2003-01-29    53.8        22.2        252.0   
2003-01-30    49.5        18.1        212.0   
2003-01-31    44.7        18.0        192.0   
2003-02-01    44.0        15.6        176.0   
2003-02-02    43.9        15.2        171.0   
2003-02-03    42.9        15.0        161.0   
2003-02-04    44.6        15.8        159.0   
2003-02-05    42.6        15.2        155.0   
2003-02-06    40.6        13.9        150.0   
2003-02-07    39.5        15.4        144.0   
2003-02-08    39.9        15.7        142.0   
2003-02-09    39.1        15.6        140.0   
2003-02-10    40.2        14.9        138.0   
2003-02-11    37.9        13.8        134.0   
2003-02-12    40.0        17.2        133.0   
2003-02-13    48.4        23.2        147.0   
2003-02-14    74.1        32.4        201.0   
2003-02-15    69.0        29.3        233.0   
2003-02-16    103.0       40.9        264.0   
2003-02-17    83.5        22.6        275.0   
2003-02-18    61.3        20.2        241.0   
2003-02-19    55.2        17.4        206.0   
2003-02-20    52.1        16.1        199.0   
2003-02-21    47.3        16.3        187.0   
2003-02-22    45.4        15.0        178.0   
2003-02-23    41.9        13.0        165.0   
2003-02-24    40.4        13.5        160.0   
2003-02-25    40.3        12.8        157.0   
2003-02-26    38.7        12.0        149.0   
2003-02-27    37.7        13.2        146.0   
2003-02-28    36.4        12.0        145.0   
2003-03-01    37.5        11.6        141.0   
2003-03-02    38.1        11.3        140.0   
2003-03-03    37.9        11.5        140.0   
2003-03-04    54.0        17.7        142.0   
2003-03-05    76.5        27.1        190.0   
2003-03-06    110.0       19.7        229.0   
2003-03-07    83.2        15.4        227.0   
2003-03-08    59.9        13.7        195.0   
2003-03-09    52.7        11.1        159.0   
2003-03-10    49.1        11.4        142.0   
2003-03-11    44.8        10.9        135.0   
2003-03-12    49.0        13.8        140.0   
2003-03-13    59.3        19.6        174.0   
2003-03-14    54.0        13.7        177.0   
2003-03-15    49.2        11.7        154.0   
2003-03-16    48.2        11.2        141.0   
2003-03-17    43.9        9.71        133.0   
2003-03-18    43.6        10.1        129.0   
2003-03-19    64.8        22.7        142.0   
2003-03-20    92.7        27.0        202.0   
2003-03-21    66.5        18.3        241.0   
2003-03-22    51.9        14.4        204.0   
2003-03-23    50.9        16.2        185.0   
2003-03-24    48.3        13.8        175.0   
2003-03-25    42.8        11.6        166.0   
2003-03-26    39.7        10.6        148.0   
2003-03-27    37.6        9.43        139.0   
2003-03-28    38.0        9.34        130.0   
2003-03-29    38.6        9.19        135.0   
2003-03-30    35.7        8.75        133.0   
2003-03-31    35.3        8.73        133.0   
2003-04-01    32.6        9.2         127.0   
2003-04-02    34.8        12.6        127.0   
2003-04-03    45.4        19.5        153.0   
2003-04-04    82.4        36.1        307.0   
2003-04-05    73.8        21.4        371.0   
2003-04-06    50.7        15.2        280.0   
2003-04-07    65.6        24.1        229.0   
2003-04-08    71.8        17.4        247.0   
2003-04-09    83.5        24.2        256.0   
2003-04-10    139.0       23.9        285.0   
2003-04-11    107.0       32.7        415.0   
2003-04-12    98.5        27.6        465.0   
2003-04-13    158.0       114.0       456.0   
2003-04-14    227.0       70.8        761.0   
2003-04-15    125.0       38.8        540.0   
2003-04-16    89.2        27.6        359.0   
2003-04-17    73.6        25.6        288.0   
2003-04-18    67.5        21.9        247.0   
2003-04-19    59.2        21.0        216.0   
2003-04-20    54.7        18.4        193.0   
2003-04-21    52.6        15.9        181.0   
2003-04-22    50.4        14.7        172.0   
2003-04-23    47.9        13.1        157.0   
2003-04-24    43.2        12.8        149.0   
2003-04-25    42.0        16.8        157.0   
2003-04-26    41.8        14.3        175.0   
2003-04-27    40.1        13.1        153.0   
2003-04-28    37.5        11.4        136.0   
2003-04-29    35.9        10.8        129.0   
2003-04-30    41.9        11.9        130.0   
2003-05-01    41.8        11.7        126.0   
2003-05-02    35.7        9.54        122.0   
2003-05-03    35.8        10.0        123.0   
2003-05-04    42.8        13.8        126.0   
2003-05-05    42.3        12.9        140.0   
2003-05-06    37.2        12.0        131.0   
2003-05-07    38.8        14.6        132.0   
2003-05-08    75.9        27.5        169.0   
2003-05-09    51.1        14.7        228.0   
2003-05-10    40.9        12.0        172.0   
2003-05-11    37.4        58.9        158.0   
2003-05-12    35.5        24.3        203.0   
2003-05-13    35.1        15.9        201.0   
2003-05-14    32.7        19.7        178.0   
2003-05-15    43.3        44.2        262.0   
2003-05-16    515.0       318.0       454.0   
2003-05-17    1080.0      169.0       2420.0  
2003-05-18    362.0       73.6        1500.0  
2003-05-19    211.0       44.2        708.0   
2003-05-20    145.0       38.5        480.0   
2003-05-21    120.0       33.0        373.0   
2003-05-22    125.0       45.8        351.0   
2003-05-23    179.0       41.6        382.0   
2003-05-24    162.0       54.2        407.0   
2003-05-25    142.0       37.5        400.0   
2003-05-26    114.0       29.8        346.0   
2003-05-27    96.8        25.2        287.0   
2003-05-28    85.1        22.7        241.0   
2003-05-29    79.9        20.1        224.0   
2003-05-30    75.6        19.2        213.0   
2003-05-31    71.0        18.4        207.0   
2003-06-01    66.0        16.8        189.0   
2003-06-02    60.1        16.1        180.0   
2003-06-03    58.9        18.5        171.0   
2003-06-04    60.0        22.4        183.0   
2003-06-05    60.8        21.0        172.0   
2003-06-06    88.8        50.4        218.0   
2003-06-07    129.0       51.1        362.0   
2003-06-08    98.4        43.7        345.0   
2003-06-09    91.2        46.7        290.0   
2003-06-10    78.4        36.1        266.0   
2003-06-11    111.0       35.3        243.0   
2003-06-12    180.0       45.0        315.0   
2003-06-13    117.0       24.5        360.0   
2003-06-14    129.0       38.0        292.0   
2003-06-15    127.0       32.2        294.0   
2003-06-16    96.1        25.2        278.0   
2003-06-17    80.9        21.6        211.0   
2003-06-18    68.3        16.3        189.0   
2003-06-19    61.1        16.8        166.0   
2003-06-20    67.3        20.5        171.0   
2003-06-21    62.5        28.6        149.0   
2003-06-22    64.8        35.8        155.0   
2003-06-23    68.6        31.8        173.0   
2003-06-24    61.7        23.4        174.0   
2003-06-25    53.9        20.2        163.0   
2003-06-26    49.9        22.1        146.0   
2003-06-27    57.2        23.2        153.0   
2003-06-28    68.7        25.4        164.0   
2003-06-29    86.2        23.0        177.0   
2003-06-30    84.0        17.5        172.0   
2003-07-01    60.2        16.3        162.0   
2003-07-02    52.7        12.9        133.0   
2003-07-03    45.8        13.8        118.0   
2003-07-04    40.4        13.4        110.0   
2003-07-05    36.5        11.2        104.0   
2003-07-06    32.9        12.0        96.5    
2003-07-07    31.1        10.8        90.9    
2003-07-08    29.7        11.6        88.6    
2003-07-09    24.6        11.3        86.0    
2003-07-10    27.6        10.9        78.0    
2003-07-11    23.1        12.3        80.0    
2003-07-12    21.2        10.8        74.9    
2003-07-13    20.2        11.2        69.7    
2003-07-14    18.5        10.2        68.3    
2003-07-15    17.3        9.57        61.5    
2003-07-16    15.8        9.51        59.7    
2003-07-17    16.0        10.2        57.3    
2003-07-18    16.0        7.9         52.8    
2003-07-19    15.1        9.13        55.9    
2003-07-20    14.7        8.33        51.2    
2003-07-21    14.1        8.15        44.3    
2003-07-22    13.7        8.58        49.5    
2003-07-23    13.7        7.76        48.8    
2003-07-24    13.5        6.58        45.2    
2003-07-25    13.6        6.61        47.1    
2003-07-26    13.7        6.56        48.8    
2003-07-27    13.7        6.3         45.4    
2003-07-28    13.1        6.77        42.3    
2003-07-29    12.2        6.9         42.6    
2003-07-30    12.3        5.97        42.1    
2003-07-31    12.3        6.01        43.1    
2003-08-01    12.1        5.85        40.0    
2003-08-02    11.8        5.37        37.7    
2003-08-03    11.7        7.98        37.2    
2003-08-04    11.7        7.14        35.7    
2003-08-05    12.0        6.7         35.7    
2003-08-06    12.6        6.75        42.8    
2003-08-07    12.3        7.0         44.0    
2003-08-08    12.1        6.03        46.3    
2003-08-09    11.6        5.1         43.8    
2003-08-10    11.7        5.84        43.9    
2003-08-11    15.9        4.86        38.3    
2003-08-12    33.5        6.05        37.9    
2003-08-13    80.1        8.77        61.8    
2003-08-14    92.7        11.8        113.0   
2003-08-15    65.8        13.6        161.0   
2003-08-16    105.0       30.6        133.0   
2003-08-17    82.1        18.6        200.0   
2003-08-18    84.2        15.8        184.0   
2003-08-19    62.1        12.5        167.0   
2003-08-20    45.0        13.0        119.0   
2003-08-21    40.3        14.5        100.0   
2003-08-22    40.6        14.6        109.0   
2003-08-23    37.8        11.4        108.0   
2003-08-24    30.8        9.61        87.3    
2003-08-25    26.3        8.82        73.8    
2003-08-26    22.9        6.63        69.5    
2003-08-27    22.5        5.96        61.2    
2003-08-28    19.8        6.15        54.6    
2003-08-29    17.7        5.7         50.0    
2003-08-30    16.6        4.51        42.9    
2003-08-31    15.4        4.53        42.3    
2003-09-01    15.0        4.51        41.3    
2003-09-02    16.0        6.08        42.5    
2003-09-03    16.3        5.22        48.9    
2003-09-04    16.5        4.77        47.0    
2003-09-05    16.1        5.82        43.7    
2003-09-06    15.1        4.57        43.9    
2003-09-07    16.0        5.37        40.1    
2003-09-08    16.1        6.85        40.5    
2003-09-09    14.9        6.58        42.9    
2003-09-10    15.7        5.27        42.4    
2003-09-11    15.8        5.41        41.7    
2003-09-12    14.4        5.82        42.4    
2003-09-13    14.3        5.75        40.1    
2003-09-14    14.8        6.14        36.9    
2003-09-15    22.2        9.81        43.0    
2003-09-16    24.3        7.83        58.1    
2003-09-17    26.9        9.65        65.0    
2003-09-18    24.6        7.84        56.8    
2003-09-19    23.1        7.27        54.0    
2003-09-20    22.1        6.26        50.7    
2003-09-21    23.5        5.95        48.4    
2003-09-22    23.4        6.59        49.7    
2003-09-23    21.4        6.98        49.2    
2003-09-24    21.2        6.47        47.9    
2003-09-25    21.1        6.32        47.3    
2003-09-26    19.0        6.17        45.0    
2003-09-27    17.4        6.1         42.9    
2003-09-28    17.2        4.3         40.6    
2003-09-29    17.2        6.01        41.0    
2003-09-30    16.2        5.33        38.9    
2003-10-01    14.1        5.83        38.8    
2003-10-02    12.4        7.53        37.5    
2003-10-03    11.4        8.0         34.4    
2003-10-04    11.9        9.38        34.2    
2003-10-05    11.8        10.9        34.5    
2003-10-06    12.0        9.98        35.0    
2003-10-07    11.0        8.96        35.3    
2003-10-08    11.2        8.57        37.5    
2003-10-09    11.1        7.74        36.3    
2003-10-10    11.0        6.88        35.3    
2003-10-11    11.6        6.85        35.6    
2003-10-12    10.4        6.76        36.0    
2003-10-13    9.68        6.07        50.1    
2003-10-14    9.94        6.06        47.5    
2003-10-15    10.9        5.73        37.0    
2003-10-16    10.5        5.89        37.5    
2003-10-17    9.55        4.87        34.8    
2003-10-18    9.49        5.72        33.3    
2003-10-19    9.15        4.79        34.8    
2003-10-20    9.88        5.31        31.3    
2003-10-21    10.8        5.85        29.8    
2003-10-22    14.4        4.8         31.1    
2003-10-23    14.7        5.81        33.1    
